InnerIters,OuterIters,PicardIters,ResidualReductions,SimTime
7,1,1,9.235677538372836e-09,100.0
7,1,2,8.864220441799708e-09,100.0
8,2,3,2.2236512289184727e-09,100.0
8,2,4,3.2675762858023047e-09,100.0
7,1,1,7.216458976937525e-09,200.0
7,1,2,6.978415151196508e-09,200.0
8,2,3,4.0909228779900725e-09,200.0
8,2,4,2.0968939521159402e-09,200.0
7,1,1,9.037654960967887e-09,300.0
7,1,2,8.779511865809654e-09,300.0
8,2,3,3.628119863155209e-09,300.0
8,2,4,3.612116451229477e-09,300.0
7,1,1,8.219373805884802e-09,400.0
7,1,2,8.455755753643858e-09,400.0
8,2,3,5.075503054417256e-09,400.0
8,2,4,3.92086946505023e-09,400.0
7,1,1,9.228436797034607e-09,500.0
7,1,2,9.197402267487635e-09,500.0
8,2,3,4.24049367746907e-09,500.0
8,2,4,3.2821176441003182e-09,500.0
7,1,1,8.822064026215513e-09,600.0
7,1,2,9.198553975641923e-09,600.0
8,2,3,5.8411860244700355e-09,600.0
8,2,4,6.906133483077923e-09,600.0
7,1,1,9.369237111088534e-09,700.0
7,1,2,9.601074738146622e-09,700.0
8,2,3,4.206742059011252e-09,700.0
8,2,4,2.478735583305754e-09,700.0
7,1,1,9.411041466919025e-09,800.0
7,1,2,9.757796551597649e-09,800.0
8,2,3,6.23033594721772e-09,800.0
8,2,4,7.635285274697086e-09,800.0
7,1,1,9.68215228580854e-09,900.0
8,2,2,6.467511449451561e-10,900.0
8,2,3,2.13195254515609e-09,900.0
8,2,4,2.0472176025352924e-09,900.0
7,1,1,9.835859290900412e-09,1000.0
8,2,2,7.036201597648031e-10,1000.0
8,2,3,2.521873968307821e-09,1000.0
8,2,4,2.1115603752318064e-09,1000.0
8,2,1,6.925034159022251e-10,1100.0
8,2,2,6.61376217697037e-10,1100.0
8,2,3,1.4616388107773841e-09,1100.0
8,2,4,1.4824299791418445e-09,1100.0
8,2,1,7.126248814076503e-10,1200.0
8,2,2,6.830967807754512e-10,1200.0
8,2,3,1.4144808517889966e-09,1200.0
8,2,4,1.7782088038926791e-09,1200.0
8,2,1,7.183637295876031e-10,1300.0
8,2,2,6.920769295270104e-10,1300.0
8,2,3,1.4409814706857202e-09,1300.0
8,2,4,1.5489605861397505e-09,1300.0
8,2,1,7.512621178797455e-10,1400.0
8,2,2,7.242116990492449e-10,1400.0
8,2,3,1.5066224385827735e-09,1400.0
8,2,4,1.8550522969403365e-09,1400.0
8,2,1,8.069505437715104e-10,1500.0
8,2,2,7.809464581583533e-10,1500.0
8,2,3,1.6025454573150233e-09,1500.0
8,2,4,1.5677770714565645e-09,1500.0
8,2,1,8.156771569762637e-10,1600.0
8,2,2,7.879474072733574e-10,1600.0
8,2,3,1.6338621479437157e-09,1600.0
8,2,4,1.994071252457566e-09,1600.0
8,2,1,8.245120992831418e-10,1700.0
8,2,2,8.064822251266369e-10,1700.0
8,2,3,1.5325857734889092e-09,1700.0
8,2,4,1.4787472948134537e-09,1700.0
8,2,1,9.101464116897276e-10,1800.0
8,2,2,8.822582048046377e-10,1800.0
8,2,3,1.8800514134014753e-09,1800.0
8,2,4,2.20211354546093e-09,1800.0
8,2,1,9.212805332698737e-10,1900.0
8,2,2,9.017746660469522e-10,1900.0
8,2,3,1.6439619123689338e-09,1900.0
8,2,4,1.5684281407714275e-09,1900.0
8,2,1,9.57380445579568e-10,2000.0
8,2,2,9.324120179888166e-10,2000.0
8,2,3,1.9229997743743603e-09,2000.0
8,2,4,2.2547774978259824e-09,2000.0
8,2,1,9.721800750877654e-10,2100.0
8,2,2,9.556270099944333e-10,2100.0
8,2,3,1.6790529548757096e-09,2100.0
8,2,4,1.8078325212585464e-09,2100.0
8,2,1,1.0426525380146485e-09,2200.0
8,2,2,1.0180105341196092e-09,2200.0
8,2,3,2.125776090699448e-09,2200.0
8,2,4,2.4278948684999915e-09,2200.0
8,2,1,1.0506134038845272e-09,2300.0
8,2,2,1.0318991058841593e-09,2300.0
8,2,3,1.8995395232900035e-09,2300.0
8,2,4,2.0611650409849145e-09,2300.0
8,2,1,1.0797554623629922e-09,2400.0
8,2,2,1.0617978660143063e-09,2400.0
8,2,3,2.0405406682047248e-09,2400.0
8,2,4,2.408821116116919e-09,2400.0
8,2,1,1.140409716820328e-09,2500.0
8,2,2,1.1200769244740767e-09,2500.0
8,2,3,2.2046496560909297e-09,2500.0
8,2,4,2.529420095031303e-09,2500.0
