InnerIters,OuterIters,PicardIters,ResidualReductions,SimTime
5,17,1,1.3129211439911088e-09,843.75
5,17,2,1.306954885975938e-09,843.75
6,18,3,2.488651881228331e-09,843.75
6,17,4,1.6203049192340267e-08,843.75
5,17,1,7.69410647231826e-10,871.875
5,17,2,8.363434410310447e-10,871.875
6,18,3,2.4744581688190935e-09,871.875
6,17,4,1.6975154692856928e-08,871.875
5,17,1,1.3032394950551244e-09,900.0
5,17,2,1.3054541724575555e-09,900.0
6,18,3,2.5097663220476466e-09,900.0
6,18,4,1.7076700913441986e-08,900.0
5,17,1,1.302474907095788e-09,928.125
5,17,2,1.2968473975361008e-09,928.125
6,18,3,2.4680888556438227e-09,928.125
6,17,4,1.7577468913099806e-08,928.125
5,17,1,1.1880483479321632e-09,956.25
5,17,2,1.1882639681649282e-09,956.25
6,18,3,2.482193154515535e-09,956.25
6,18,4,1.8106361895627978e-08,956.25
5,17,1,1.3742452129760143e-09,984.375
5,17,2,1.3726296462227086e-09,984.375
6,18,3,2.5220088600480658e-09,984.375
6,18,4,1.8209959641365317e-08,984.375
5,17,1,1.378445281102476e-09,1012.5
5,17,2,1.371340115743618e-09,1012.5
6,18,3,2.5154006967506605e-09,1012.5
6,17,4,1.8831911695971785e-08,1012.5
5,17,1,1.316206464081143e-09,1040.625
5,17,2,1.3113832078496579e-09,1040.625
6,18,3,2.55160774979955e-09,1040.625
6,18,4,1.854119540236125e-08,1040.625
5,17,1,1.3336024368066094e-09,1068.75
5,17,2,1.3309008700528055e-09,1068.75
6,18,3,2.5724083990701114e-09,1068.75
6,17,4,1.9230928936092604e-08,1068.75
5,17,1,1.173476208536862e-09,1096.875
5,17,2,1.152671502542895e-09,1096.875
6,18,3,2.5860928784573356e-09,1096.875
6,18,4,1.9560695242348664e-08,1096.875
5,17,1,1.2868350062405853e-09,1125.0
5,17,2,1.2870062861133702e-09,1125.0
6,18,3,2.567277880468961e-09,1125.0
6,18,4,1.9578878852879387e-08,1125.0
5,17,1,1.335050035372244e-09,1153.125
5,17,2,1.3345855379825956e-09,1153.125
6,18,3,2.5176856179069226e-09,1153.125
6,17,4,2.015349372807285e-08,1153.125
5,17,1,1.2115322615853835e-09,1181.25
5,17,2,1.2138145296297218e-09,1181.25
6,18,3,2.52261401731646e-09,1181.25
6,18,4,2.069893857458756e-08,1181.25
5,17,1,1.3986888704145862e-09,1209.375
5,17,2,1.3959167856022534e-09,1209.375
6,18,3,2.55424263521128e-09,1209.375
6,18,4,2.0850584662963446e-08,1209.375
5,17,1,1.3800939404366702e-09,1237.5
5,17,2,1.3759175799023411e-09,1237.5
6,18,3,2.5757003989583656e-09,1237.5
6,17,4,2.077741152524786e-08,1237.5
5,17,1,1.3328590552864856e-09,1265.625
5,17,2,1.3267876344595568e-09,1265.625
6,18,3,2.586672467323615e-09,1265.625
6,18,4,2.10119113294108e-08,1265.625
5,17,1,1.3877472289958176e-09,1293.75
5,17,2,1.3862522400828677e-09,1293.75
6,18,3,2.5949293916624165e-09,1293.75
6,18,4,2.1569602172886445e-08,1293.75
5,17,1,1.30188952054856e-09,1321.875
5,17,2,1.2955373959256361e-09,1321.875
6,18,3,2.604114031044862e-09,1321.875
6,17,4,2.2047917877754776e-08,1321.875
5,17,1,1.3551098934650613e-09,1350.0
5,17,2,1.3540156793307363e-09,1350.0
6,18,3,2.5487825113324165e-09,1350.0
6,18,4,2.2494440451369045e-08,1350.0
6,17,1,1.3539001873722222e-09,1378.125
6,17,2,1.352042062015564e-09,1378.125
6,18,3,2.5463841371645658e-09,1378.125
6,18,4,2.2632071350009267e-08,1378.125
5,17,1,5.75780983727965e-10,1406.25
5,17,2,5.577277345535846e-10,1406.25
6,18,3,2.5849363737725968e-09,1406.25
6,18,4,2.3031274167960854e-08,1406.25
5,17,1,1.3952909282655005e-09,1434.375
5,17,2,1.3926203773070117e-09,1434.375
6,18,3,2.5790024462251553e-09,1434.375
6,18,4,2.3299909879314297e-08,1434.375
5,17,1,1.32262610586115e-09,1462.5
5,17,2,1.3194451098469085e-09,1462.5
6,18,3,2.587529347979319e-09,1462.5
6,18,4,2.3236155756722175e-08,1462.5
5,17,1,1.2886922722859616e-09,1490.625
5,17,2,1.2881005730896558e-09,1490.625
6,18,3,2.6171522065200536e-09,1490.625
6,18,4,2.4069606567296756e-08,1490.625
5,17,1,1.3186199316708619e-09,1518.75
5,17,2,1.3179428211304276e-09,1518.75
6,18,3,2.603571176661935e-09,1518.75
6,18,4,2.456523261809395e-08,1518.75
5,17,1,1.2164817535395576e-09,1546.875
5,17,2,1.2140878136621164e-09,1546.875
