InnerIters,OuterIters,PicardIters,ResidualReductions,SimTime
5,1,4,4.69835272241837e-09,1040.625
5,1,1,7.07969239366537e-10,1068.75
5,1,2,7.084544638953315e-10,1068.75
5,1,3,1.164396962261545e-09,1068.75
5,1,4,5.002043117845648e-09,1068.75
5,1,1,7.098732668158793e-10,1096.875
5,1,2,7.105046486834583e-10,1096.875
5,1,3,1.2076729455217444e-09,1096.875
5,1,4,5.381178031867384e-09,1096.875
5,1,1,7.135579232985725e-10,1125.0
5,1,2,7.142579436867948e-10,1125.0
5,1,3,1.2165472000539928e-09,1125.0
5,1,4,5.31140554252596e-09,1125.0
5,1,1,7.157344335942625e-10,1153.125
5,1,2,7.161904437679936e-10,1153.125
5,1,3,1.209258312318584e-09,1153.125
5,1,4,5.4101354085496704e-09,1153.125
5,1,1,7.135927598892154e-10,1181.25
5,1,2,7.137489414896593e-10,1181.25
5,1,3,1.2383854892679206e-09,1181.25
5,1,4,5.8475342171451e-09,1181.25
5,1,1,7.096470481940856e-10,1209.375
5,1,2,7.098934176183074e-10,1209.375
5,1,3,1.29436931796143e-09,1209.375
5,1,4,5.996584933219868e-09,1209.375
5,1,1,7.079555184056668e-10,1237.5
5,1,2,7.084607420800621e-10,1237.5
5,1,3,1.3198047225134206e-09,1237.5
5,1,4,5.981313282130603e-09,1237.5
5,1,1,7.088103083975332e-10,1265.625
5,1,2,7.094214481930612e-10,1265.625
5,1,3,1.3049992395042647e-09,1265.625
5,1,4,6.32805070969144e-09,1265.625
5,1,1,7.101911947131526e-10,1293.75
5,1,2,7.107137754775627e-10,1293.75
5,1,3,1.3045322098412214e-09,1293.75
5,1,4,6.676303744452541e-09,1293.75
5,1,1,7.11848168889551e-10,1321.875
5,1,2,7.123436226409114e-10,1321.875
5,1,3,1.3684656089124442e-09,1321.875
5,1,4,6.6635591101154885e-09,1321.875
5,1,1,7.143706378747774e-10,1350.0
5,1,2,7.14932693732474e-10,1350.0
5,1,3,1.411029113779171e-09,1350.0
5,1,4,6.8567754778668035e-09,1350.0
5,1,1,7.168348927066608e-10,1378.125
5,1,2,7.173705756789998e-10,1378.125
5,1,3,1.3977037684463634e-09,1378.125
5,1,4,7.3318356737998925e-09,1378.125
5,1,1,7.175025233374872e-10,1406.25
5,1,2,7.178345503664738e-10,1406.25
5,1,3,1.3982678812002716e-09,1406.25
5,1,4,7.455358671265267e-09,1406.25
5,1,1,7.161489368656707e-10,1434.375
5,1,2,7.163245706646295e-10,1434.375
5,1,3,1.4526059776916207e-09,1434.375
5,1,4,7.527542947023656e-09,1434.375
5,1,1,7.144465982877033e-10,1462.5
5,1,2,7.147587481604892e-10,1462.5
5,1,3,1.4969191604628754e-09,1462.5
5,1,4,7.974362327871319e-09,1462.5
5,1,1,7.144485567763955e-10,1490.625
5,1,2,7.149270551323069e-10,1490.625
5,1,3,1.490449263743961e-09,1490.625
5,1,4,8.316911596497434e-09,1490.625
5,1,1,7.156788361131219e-10,1518.75
5,1,2,7.16172096223752e-10,1518.75
5,1,3,1.4806187297914716e-09,1518.75
5,1,4,8.323802593753277e-09,1518.75
5,1,1,7.16270471674255e-10,1546.875
5,1,2,7.166926427494831e-10,1546.875
5,1,3,1.5251322914005222e-09,1546.875
5,1,4,8.622031593506721e-09,1546.875
5,1,1,7.160178514557e-10,1575.0
5,1,2,7.16421419113155e-10,1575.0
5,1,3,1.5724097067837023e-09,1575.0
5,1,4,9.127009565287994e-09,1575.0
5,1,1,7.16710394441442e-10,1603.125
5,1,2,7.171489375962589e-10,1603.125
5,1,3,1.5698885409987891e-09,1603.125
5,1,4,9.240671469502798e-09,1603.125
5,1,1,7.183942577707946e-10,1631.25
5,1,2,7.188319200915956e-10,1631.25
5,1,3,1.5648636308711402e-09,1631.25
5,1,4,9.407514583459379e-09,1631.25
5,1,1,7.190443044997355e-10,1659.375
5,1,2,7.193324330933232e-10,1659.375
5,1,3,1.5927516233585742e-09,1659.375
5,1,4,9.917860289305074e-09,1659.375
5,1,1,7.178353527167415e-10,1687.5
5,1,2,7.180292890948237e-10,1687.5
5,1,3,1.652006485822597e-09,1687.5
5,1,4,1.0262598581629106e-08,1687.5
5,1,1,7.167839340852068e-10,1715.625
5,1,2,7.170834428725403e-10,1715.625
5,1,3,1.6668955362118024e-09,1715.625
5,1,4,1.0343878679311684e-08,1715.625
5,1,1,7.175466735960778e-10,1743.75
5,1,2,7.180232218322892e-10,1743.75
5,1,3,1.6509727740231975e-09,1743.75
5,1,4,1.0736487029856779e-08,1743.75
5,1,1,7.192070701014985e-10,1771.875
5,1,2,7.196888655943839e-10,1771.875
5,1,3,1.6616556232682077e-09,1771.875
5,1,4,1.1260622735972572e-08,1771.875
5,1,1,7.201864889429849e-10,1800.0
5,1,2,7.205564093982401e-10,1800.0
5,1,3,1.704417214788062e-09,1800.0
5,1,4,1.1423984604698398e-08,1800.0
5,1,1,7.207471938123855e-10,1828.125
5,1,2,7.211233098618005e-10,1828.125
5,1,3,1.7362947201888525e-09,1828.125
5,1,4,1.1609091883256542e-08,1828.125
5,1,1,7.218364940812113e-10,1856.25
5,1,2,7.222688346427219e-10,1856.25
5,1,3,1.7132484229234063e-09,1856.25
5,1,4,1.2175612225889324e-08,1856.25
5,1,1,7.225448802050717e-10,1884.375
5,1,2,7.229337251564073e-10,1884.375
5,1,3,1.7200247489267403e-09,1884.375
5,1,4,1.2597645166158945e-08,1884.375
5,1,1,7.212663339585987e-10,1912.5
5,1,2,7.215136360182401e-10,1912.5
5,1,3,1.7730789103391254e-09,1912.5
5,1,4,1.2761573998766846e-08,1912.5
5,1,1,7.189058858062857e-10,1940.625
5,1,2,7.192099768869464e-10,1940.625
5,1,3,1.818571127349925e-09,1940.625
5,1,4,1.3195197089287305e-08,1940.625
5,1,1,7.184601216069169e-10,1968.75
5,1,2,7.189418050484649e-10,1968.75
5,1,3,1.802885624906436e-09,1968.75
5,1,4,1.3753370858298204e-08,1968.75
