Degree,FluxConvRates,FluxErrors,Mesh,NumCells,PostProccssedDivFluxErrors,PostProccssedDivFluxRates,PostProcessedFluxErrors,PostProcessedFluxRates,PostProcessedScalarErrors,PostProcessedScalarRates,ScalarConvRates,ScalarErrors
2,---,0.08362199087804946,1,8,0.32126818637238425,---,0.042492955239912505,---,0.0050632593335864515,---,---,0.036209648044691345
2,2.91305347286,0.011102071724432073,2,32,0.04271167966125028,2.98442973792,0.005369255426956015,2.98442973792,0.0003266419887347548,3.95428421756,2.84985824387,0.005022633497059543
2,2.98184378973,0.001405334168731066,3,128,0.005422011039565885,2.99900332641,0.0006716207516189239,2.99900332641,2.046522027619313e-05,3.9964641561,2.95329221404,0.00064848800341274
2,2.99712508292,0.00017601717842968183,4,512,0.0006803727980949987,3.00046581148,8.39254920575531e-05,3.00046581148,1.2770770841375843e-06,4.00225668164,2.98389504051,8.197096262246328e-05
2,3.00008957067,2.200078132826655e-05,5,2048,8.512872413816903e-05,3.00038242667,1.0487906025849138e-05,3.00038242667,7.969883873277265e-08,4.00214309495,2.99377529173,1.029067522776171e-05
2,3.00042417264,2.749289217473725e-06,6,8192,1.0643687697666707e-05,3.0002212843,1.3107871858770944e-06,3.0002212843,4.976582733743956e-09,4.00133137023,2.99733640109,1.2887115127505318e-06
