Mesh,Degree,NumCells,ScalarErrors,ScalarConvRates,PostProcessedScalarErrors,PostProcessedScalarRates,FluxErrors,FluxConvRates,PostProcessedFluxErrors,PostProcessedFluxRates
1,3,8,0.006202921949049745,---,0.0007318955462362233,---,0.014642479107273445,---,0.006077091004039553,---
2,3,32,0.0004247565413897855,3.8682399010199515,2.333924548626399e-05,4.970807939127758,0.0009665890541381819,3.9211133682338484,0.0003783867665786976,4.005447357394635
3,3,128,2.729253343988457e-05,3.9600579408953713,7.294333195977721e-07,4.9998380102909215,6.113992239346018e-05,3.982716031382731,2.3569573109928185e-05,4.004864099831749
4,3,512,1.721953951421179e-06,3.98638785180828,2.275584130230595e-08,5.00246727164079,3.8294646254587135e-06,3.996900104177618,1.471310351746083e-06,4.001752129293323
5,3,2048,1.0801324631508675e-07,3.9947664078926026,7.102178297141378e-10,5.001831535643722,2.393688347858384e-07,3.999835477292627,9.192050338674355e-08,4.0005710855499315
6,3,8192,6.7612534886473744e-09,3.9977737026214584,2.2178097157933602e-11,5.001054083851,1.4957814842596405e-08,4.000263993995114,5.744160762075792e-09,4.000218667068447
7,3,32768,4.2288910949123547e-10,3.998939424016251,2.937533233509078e-12,2.9164585114115873,9.348068159476328e-10,4.000087366678991,3.590563472939336e-10,3.9998139550980354
