Degree,FluxConvRates,FluxErrors,Mesh,NumCells,PostProccssedDivFluxErrors,PostProccssedDivFluxRates,PostProcessedFluxErrors,PostProcessedFluxRates,PostProcessedScalarErrors,PostProcessedScalarRates,ScalarConvRates,ScalarErrors
3,---,0.014704690680701108,1,8,0.056492620123871906,---,0.005688952518895775,---,0.0007091696560597182,---,---,0.010055734274375033
3,3.92800526591,0.000966069753795481,2,32,0.0037363947503936444,4.05180751629,0.000343017841725645,4.05180751629,2.258927477337609e-05,4.97242094855,2.91296333039,0.0013351327522830923
3,3.98245162535,6.111827520669492e-05,3,128,0.00023685063346577556,4.0138763183,2.1233399909449815e-05,4.0138763183,7.094488519791677e-07,4.99279546734,2.97807073794,0.00016944775857094798
3,3.99555065295,3.831691132903028e-06,4,512,1.4855587650358644e-05,4.00165606188,1.3255650117352598e-06,4.00165606188,2.2195405466423938e-08,4.9983657071,2.99449627723,2.1261927213284713e-05
3,3.99882165155,2.3967637609503505e-07,5,2048,9.479296207007696e-07,3.9993641141,8.288433749284582e-08,3.9993641141,6.936974177947658e-10,4.99981073955,2.99862184356,2.660280962212959e-06
3,3.98129864762,1.5175217170112567e-08,6,8192,2.5307024186456367e-06,3.86063169071,5.705668418968075e-09,3.86063169071,2.1884719896647185e-11,4.98631069023,2.9996541308,3.3261485122389387e-07
