Mesh,Degree,NumCells,ScalarErrors,ScalarConvRates,PostProcessedScalarErrors,PostProcessedScalarRates,FluxErrors,FluxConvRates,PostProcessedFluxErrors,PostProcessedFluxRates
1,2,8,0.05924612703438637,---,0.004888237745295429,---,0.08398045944937307,---,0.04029870825245205,---
2,2,32,0.015962920809839225,1.8919961946582389,0.00031509213076145337,3.9554688245962013,0.011104108469539922,2.9189601151049116,0.004939850171038944,3.028194405210726
3,2,128,0.004067490434646611,1.9725137940464519,1.9883120320613772e-05,3.986157637904065,0.0014071326081758302,2.9802633662681854,0.0006138364385704116,3.008541089817934
4,2,512,0.0010217557586940163,1.993088578652325,1.246120087046769e-06,3.996029170432862,0.0001765160795056013,2.994886779513268,7.674096515370678e-05,2.9997854750214037
5,2,2048,0.0002557458497114462,1.9982676415568887,7.793738196981155e-08,3.9989838254744123,2.2086213915312576e-05,2.998581576022453,9.602765566087457e-06,2.998475047109722
6,2,8192,6.395568217840263e-05,1.9995663808893527,4.871887470267795e-09,3.999762754388269,2.761600815547396e-06,2.999569428005292,1.201294488686786e-06,2.998860096588127
7,2,32768,1.5990122350149422e-05,1.9998915640526305,3.0450288817536446e-10,3.9999529934840425,3.452351171847888e-07,2.9998536681973467,1.502311516675139e-07,2.9993339569997826
