Degree,FluxConvRates,FluxErrors,Mesh,NumCells,PostProccssedDivFluxErrors,PostProccssedDivFluxRates,PostProcessedFluxErrors,PostProcessedFluxRates,PostProcessedScalarErrors,PostProcessedScalarRates,ScalarConvRates,ScalarErrors
1,---,0.3762285329264444,1,8,1.4432387411611214,---,0.2266110175287441,---,0.02769921140271385,---,---,0.2837854075653178
1,1.91172701503,0.09999183859664572,2,32,0.38462532612847083,2.00666473884,0.056391642359058664,2.00666473884,0.0032803290106387683,3.07793247656,0.858890953906,0.15647253545404366
1,1.97781558041,0.025385325615415726,3,128,0.09771839019599678,2.00408022049,0.014058095302330601,2.00408022049,0.0003974938429311088,3.04483610288,0.965718246017,0.08011760541189343
1,1.99410696975,0.006372307517145,4,512,0.024528403776228058,1.99875667864,0.0035175539642315003,1.99875667864,4.9167618197733664e-05,3.01515213941,0.991546034013,0.0402942300981724
1,1.99832031225,0.0015949327323664178,5,2048,0.006138303866602789,1.99818232181,0.0008804971471592765,1.99818232181,6.124971283199413e-06,3.0049334839,0.997893229468,0.020176557414727205
1,1.99946922558,0.0003988799059283308,6,8192,0.0016706697375043669,1.99873643004,0.00022031716488858717,1.99873643004,7.646722419536526e-07,3.00178967061,0.999473503308,0.010091960992613275
