Degree,FluxConvRates,FluxErrors,Mesh,NumCells,PostProcessedFluxErrors,PostProcessedFluxRates,PostProcessedScalarErrors,PostProcessedScalarRates,ScalarConvRates,ScalarErrors
3,---,0.015561968547975756,1,8,0.007273249712683961,---,0.0008131380218434292,---,---,0.004141390427908143
3,3.58500094486,0.0012967961555608479,2,32,0.000700233413952486,3.37669229775,3.334849009406615e-05,4.60780690809,4.26322343277,0.0002156691585437528
3,3.32298752484,0.00012958442146946488,3,128,7.906719379797607e-05,3.14668477891,1.6535825522182465e-06,4.33395446611,4.10727572974,1.2513386211323187e-05
3,3.11233105305,1.4984690964854617e-05,4,512,9.554512354342982e-06,3.0488250748,9.506835107736693e-08,4.12048612344,4.03146614145,7.652134830669682e-07
3,3.03029206536,1.8341674562024655e-06,5,2048,1.1810482701833072e-06,3.01611431265,5.7966296895086995e-09,4.0356789088,4.00829429264,4.755167288305216e-08
3,3.00726111568,2.2811990541339478e-07,6,8192,1.4704522575257853e-07,3.00573608095,3.597186064476349e-10,4.01027363385,4.00213744053,2.967579646733323e-09
