Mesh,Degree,NumCells,ScalarErrors,ScalarConvRates,FluxErrors,FluxConvRates,PostProcessedScalarErrors,PostProcessedScalarRates
1,0,4,0.3017783488922627,---,1.0557439078404478,---,0.14759457480871094,---
2,0,16,0.1584507028808181,0.9294552438553083,0.5127593384045105,1.041906155598513,0.03908774036706267,1.9168516016364312
3,0,64,0.0799460837443065,0.9869347910842704,0.25308174578743486,1.0186784085163496,0.009908832464021074,1.9799292029716675
4,0,256,0.040053699070907355,0.9970918775728022,0.1260745582280757,1.0053262828542608,0.0024857492950507852,1.995034279846826
5,0,1024,0.020036614727635477,0.9992967061200452,0.06297720374729636,1.0013755631618777,0.0006219708449942793,1.998761937549405
6,0,4096,0.010019517927503697,0.9998256822581147,0.03148103584371697,1.0003466900655358,0.00015552605137515303,1.9996906962457013
7,0,16384,0.005009909967622289,0.9999565150232912,0.015739570392784136,1.0000868482631566,3.888359673679135e-05,1.9999226794093588
