Degree,FluxConvRates,FluxErrors,Mesh,NumCells,PostProcessedScalarErrors,PostProcessedScalarRates,ScalarConvRates,ScalarErrors
4,---,0.0002083661760148175,1,4,7.099692996813807e-06,---,---,6.604594185584792e-05
4,4.98220712592,6.592246404394486e-06,2,16,1.1102028715538502e-07,5.99886140642,4.97769172285,2.0960981763136973e-06
4,4.99558124382,2.0663963775989193e-07,3,64,1.7345597642159624e-09,6.00010997004,4.99440858849,6.575742895009228e-08
4,4.99889720505,6.462426666292819e-09,4,256,2.7102442513887665e-11,6.00000286394,4.99860114206,2.0569131007309814e-09
4,4.99972197922,2.019897548792566e-10,5,1024,4.250755525487367e-13,5.99455977775,4.999649978,6.429413133979643e-11
