Mesh,Degree,NumCells,ScalarErrors,ScalarConvRates,FluxErrors,FluxConvRates,PostProcessedScalarErrors,PostProcessedScalarRates
1,1,8,0.07359254573177484,---,0.22001873697606714,---,0.0252106938105556,---
2,1,32,0.019506406672468724,1.9156116018516096,0.05567579977365143,1.9825041077243692,0.0031182280043602325,3.015237495763531
3,1,128,0.004951616076900117,1.977976674923499,0.013997111177064762,1.9919212729652107,0.00038519763174673917,3.0170556831217388
4,1,512,0.0012426924297659146,1.9944301905902864,0.003512335499105534,1.994626541137697,4.785625742846365e-05,3.008819352050371
5,1,2048,0.00031097392494575007,1.9986037480020358,0.0008800092300686247,1.9968400972225309,5.963999563613719e-06,3.0043555189665665
6,1,8192,7.776230544713204e-05,1.9996507191644828,0.00022026318641356498,1.998290264672751,7.443850089708191e-07,3.0021592454200983
7,1,32768,1.9441753215864296e-05,1.9999126677045393,5.509971198538215e-05,1.9991117082727485,9.297881027945834e-08,3.001075130601175
