Degree,FluxConvRates,FluxErrors,Mesh,NumCells,PostProcessedScalarErrors,PostProcessedScalarRates,ScalarConvRates,ScalarErrors
4,---,0.0025419552048769464,1,8,0.0001488553481603225,---,---,0.002863554901645166
4,4.90564501637,8.480502665839649e-05,2,32,2.4225155585339814e-06,5.94126131492,3.91910794726,0.0001892938331609352
4,4.97078286751,2.7043746102522273e-06,3,128,3.8192233396273975e-08,5.98708283311,3.97963954418,1.1999014854039356e-05
4,4.99027546034,8.50832850855581e-08,4,512,5.98343428341102e-10,5.99616169879,3.99490269141,7.525927860469503e-07
4,4.99641810019,2.6654622167627228e-09,5,2048,9.37914826795599e-12,5.99537305299,3.99872526922,4.707862830438816e-08
