Degree,FluxConvRates,FluxErrors,Mesh,NumCells,PostProcessedScalarErrors,PostProcessedScalarRates,ScalarConvRates,ScalarErrors
4,---,0.0006509394522183926,1,8,8.142193063412698e-05,---,---,0.0004159750377204949
4,5.03388174931,1.986969464345821e-05,2,32,1.3029712695802353e-06,5.96554025226,4.93301749107,1.3616987407673672e-05
4,5.00879751404,6.171530775287797e-07,3,128,2.0468611555200095e-08,5.99224821919,4.98314499853,4.3053148639469975e-07
4,5.00099833735,1.9272692455905367e-08,4,512,3.2023808121053514e-10,5.99812455672,4.99577937624,1.3493526757233038e-08
4,4.99957223969,6.024502397797711e-10,5,2048,5.006531802433932e-12,5.99918952164,4.99894440666,4.219813542043475e-10
