Degree,FluxConvRates,FluxErrors,Mesh,NumCells,PostProcessedScalarErrors,PostProcessedScalarRates,ScalarConvRates,ScalarErrors
3,---,0.01806359807712338,1,8,0.00126761964790348,---,---,0.01629772846775618
3,3.91770479437,0.0011952468400171228,2,32,4.083257651620641e-05,4.95625751252,2.91291846501,0.0021639700463098217
3,3.98271628856,7.560326252399609e-05,3,128,1.2705921449389863e-06,5.00614769345,2.97783791443,0.0002746835872764707
3,3.99532592966,4.740537537294285e-06,4,512,3.9625285270023616e-08,5.00293587349,2.99443708623,3.446809866296586e-05
3,3.99830303799,2.9663230305305954e-07,5,2048,1.2379426052603114e-09,5.00040498799,2.99860794763,4.3126716105633865e-06
3,3.99926631369,1.8548949659159067e-08,6,8192,3.868789672838125e-11,4.99991831956,2.99965190553,5.392140375673343e-07
