Degree,FluxConvRates,FluxErrors,Mesh,NumCells,PostProcessedScalarErrors,PostProcessedScalarRates,ScalarConvRates,ScalarErrors
2,---,0.10717550082795868,1,8,0.012905180744605354,---,---,0.07385749236718835
2,2.8714356157,0.014645603445062149,2,32,0.0009589713831676135,3.75031877296,1.92109700513,0.019502340519285562
2,2.96020213104,0.001881904739532733,3,128,6.312080608866365e-05,3.92530022955,1.97792305539,0.004950767899652378
2,2.98695985246,0.00023737398710911922,4,512,4.003488040838255e-06,3.97878622778,1.9942575855,0.0012426282252930051
2,2.99532420132,2.9768071027225365e-05,5,2048,2.512787884593897e-07,3.99389669933,1.99854869477,0.00031096972466196403
