Degree,FluxConvRates,FluxErrors,Mesh,NumCells,PostProcessedScalarErrors,PostProcessedScalarRates,ScalarConvRates,ScalarErrors
2,---,0.03869801386663583,1,8,0.004435210332584648,---,---,0.016154785842768134
2,2.98920469383,0.004873583371701647,2,32,0.00029254444844894133,3.92227477777,2.90345678763,0.0021591042930678163
2,2.99492738807,0.0006113436720506308,3,128,1.854311513774034e-05,3.97970030673,2.97540737156,0.00027452806740609157
2,2.99571737399,7.664514199305869e-05,4,512,1.1637391305932683e-06,3.99404403079,2.99382405691,3.446322456233129e-05
2,2.99727667824,9.598744852016973e-06,5,2048,7.2827615325444e-08,3.99813827657,2.99845483411,4.312519424120483e-06
