Degree,FluxConvRates,FluxErrors,Mesh,NumCells,PostProcessedScalarErrors,PostProcessedScalarRates,ScalarConvRates,ScalarErrors
2,---,0.026671874506426378,1,4,0.001531228651804382,---,---,0.008349906860480708
2,2.98179226,0.0033763279813677984,2,16,9.47250871571569e-05,4.01479935799,2.9641460526,0.0010700024147417282
2,2.99567302471,0.000423308696107565,3,64,5.894571156743194e-06,4.00628779933,2.99094107588,0.00013459278469673438
2,2.99893481719,5.295266904657451e-05,4,256,3.679680695410388e-07,4.00173437088,2.99772686867,1.685062727561108e-05
2,2.99973477898,6.6203005764864565e-06,5,1024,2.2990933616177025e-08,4.00044362439,2.99943115654,2.107159082154964e-06
