Degree,FluxConvRates,FluxErrors,Mesh,NumCells,PostProcessedScalarErrors,PostProcessedScalarRates,ScalarConvRates,ScalarErrors
1,---,0.20237132037057134,1,4,0.01680740826908352,---,---,0.06202968470193036
1,1.98890780615,0.050983313421353295,2,16,0.0020712679215647524,3.02051119022,1.94937344428,0.016061263019310306
1,1.99815314074,0.012762155315698468,3,64,0.000258158559447413,3.00418484268,1.9870140972,0.00405162133247692
1,1.99958740261,0.003191451423903484,4,256,3.22492471868508e-05,3.0009200442,1.9967379231,0.001015198203996383
1,1.99989973431,0.0007979183084773594,5,1024,4.0305381102925035e-06,3.00022111476,1.99918362481,0.0002539432087264475
