Degree,FluxConvRates,FluxErrors,Mesh,NumCells,PostProcessedScalarErrors,PostProcessedScalarRates,ScalarConvRates,ScalarErrors
3,---,0.0026379600508634167,1,4,0.00011090073639142569,---,---,0.0008331774529296908
3,3.98148079062,0.0001670025371758796,2,16,3.4754592575397852e-06,4.99592150248,3.9731177529,5.305299288366669e-05
3,3.9954109173,1.0470912684359814e-05,3,64,1.0865746212610425e-07,4.99934447134,3.99326405023,3.3313297949372763e-06
3,3.99885539087,6.549514637830842e-07,4,256,3.395870484060447e-09,4.99986200913,3.99831491188,2.0845144426971116e-07
3,3.99971400314,4.094258205430706e-08,5,1024,1.061233768184064e-10,4.99996704393,3.99957864,1.3032020901721891e-08
3,3.99992830108,2.5590385540945327e-09,6,4096,3.3164145366103408e-12,4.999974329,3.99989437909,8.145609388630072e-10
