ConvRates,Degree,L2Errors,Mesh,NumCells,NumDOFS,OuterIterations,ResidualReductions,SCPCIterations
---,6,1.6759611130105343,0,6,343,1,3.4338690290251125e-14,39
4.18646907233,6,0.0920473247757487,1,48,2197,1,8.55997843770478e-14,42
7.21917848821,6,0.0006177630121625425,2,384,15625,1,2.129750926646705e-13,44
6.81183464824,6,5.498640762366919e-06,3,3072,117649,1,4.3435013208881005e-13,46
7.01137838236,6,4.2620657304475246e-08,4,24576,912673,1,1.3589664506285143e-12,47
7.00392254872,6,3.3206979093080175e-10,5,196608,7189057,1,3.4118569120465465e-12,49
