ConvRates,Degree,L2Errors,Mesh,NumCells,NumDOFS,OuterIterations,ResidualReductions,SCPCIterations
---,5,4.442815310016553,0,6,216,1,7.612721168487875e-14,30
3.47575333063,5,0.3993486767575483,1,48,1331,1,4.858579563693343e-14,34
7.3568390614,5,0.0024362565456967473,2,384,9261,1,1.3251644730343525e-13,38
5.63529629082,5,4.901508961379073e-05,3,3072,68921,1,1.952351083320914e-13,39
5.84210623603,5,8.54438061588014e-07,4,24576,531441,1,6.418956361042749e-13,41
5.96344877667,5,1.3693158232263177e-08,5,196608,4173281,1,1.9198416950540947e-12,43
