ConvRates,Degree,L2Errors,Mesh,NumCells,NumDOFS,OuterIterations,ResidualReductions,SCPCIterations
---,4,1.0401445958837505,0,6,125,1,2.417090203442983e-14,25
0.943013047824,4,0.5410264570605555,1,48,729,1,7.250977017809844e-14,28
5.68113760413,4,0.010544492323565803,2,384,4913,1,5.689705056625182e-14,33
4.77655551669,4,0.000384715060918243,3,3072,35937,1,1.7786015559082816e-13,36
4.95674221714,4,1.238828250020818e-05,4,24576,274625,1,3.77839134922598e-13,39
4.96795113427,4,3.9583007803598406e-07,5,196608,2146689,1,1.003192790633971e-12,41
