Mesh,Degree,NumCells,ScalarErrors,ScalarConvRates,PostProcessedScalarErrors,PostProcessedScalarRates,FluxErrors,FluxConvRates,PostProcessedFluxErrors,PostProcessedFluxRates
1,2,8,0.0362096480446876,---,0.005063259333586932,---,0.08362199087805063,---,0.042492955239913595,---
2,2,32,0.005022633497022708,2.849858243884026,0.00032664198873486077,3.9542842175581554,0.011102071724435445,2.9130534728639486,0.005369255426962565,2.9844297379214173
3,2,128,0.0006484880034312992,2.9532922139878934,2.0465220276308097e-05,3.9964641560928613,0.0014053341687321102,2.9818437897339622,0.0006716207516180634,2.9990033264091984
4,2,512,8.197096297351587e-05,2.983895034373148,1.2770770846757766e-06,4.002256681039368,0.00017601717837085887,2.997125083403638,8.392549184281647e-05,3.0004658151663253
5,2,2048,1.0290676680095232e-05,2.993775094303994,7.969883896017625e-08,4.002143091438191,2.2000781191959715e-05,3.0000895791306696,1.0487905445349815e-05,3.0003825028337445
6,2,8192,1.2887031842802959e-06,2.9973459283410477,4.976583652901206e-09,4.001331107882664,2.749290714444348e-06,3.0004233781671394,1.3107910917949925e-06,3.000216905476577
7,2,32768,1.6122332553364765e-07,2.9987876277469936,3.108947119732663e-10,4.0006577113108595,3.435885074904853e-07,3.000305781366956,1.6383608225934224e-07,3.0001127459560304
