Mesh,Degree,NumCells,ScalarErrors,ScalarConvRates,PostProcessedScalarErrors,PostProcessedScalarRates,FluxErrors,FluxConvRates,PostProcessedFluxErrors,PostProcessedFluxRates
1,2,8,0.023846887276288465,---,0.005668383404419531,---,0.08838543179637472,---,0.049114019491400554,---
2,2,32,0.0024838049748699617,3.2631771595872547,0.00047242434900144194,3.584782115136276,0.014544138487848978,2.6033707538706397,0.009242279776957442,2.409814229818937
3,2,128,0.00028818898542591663,3.107464797551454,4.658151040615872e-05,3.3422539990909894,0.0028376701516546854,2.357659035287304,0.002075165414492626,2.155022422206334
4,2,512,3.52509675164361e-05,3.0312804366787787,5.328548030616449e-06,3.1279430462335736,0.0006472582214734951,2.132293611043836,0.0005023261732720561,2.0465299879287597
5,2,2048,4.381392393021212e-06,3.008201523163387,6.488635921199473e-07,3.037755344902906,0.0001576828849812189,2.037315307930575,0.0001244331135189131,2.0132539879863556
6,2,8192,5.468742481236138e-07,3.002108393298838,8.052014807042296e-08,3.0104934879726413,3.9163959169605555e-05,2.009427554824128,3.102376744825415e-05,2.003924659981948
7,2,32768,6.833332332424711e-08,3.000547930636114,1.004408323493107e-08,3.003003935938203,9.775732265319092e-06,2.002249938753595,7.749117559954897e-06,2.0012699580411053
