Mesh,Degree,NumCells,ScalarErrors,ScalarConvRates,FluxErrors,FluxConvRates,PostProcessedScalarErrors,PostProcessedScalarRates
1,2,8,0.07394562907856897,---,0.10754047187712908,---,0.012981428293810939,---
2,2,32,0.019503799644022494,1.9227096614068324,0.014649231670113987,2.8759828025582426,0.0009604398865557436,3.756609996551128
3,2,128,0.004950790639527636,1.9780243642299074,0.001881934920771644,2.960536355298299,6.314510794242611e-05,3.9269524460052354
4,2,512,0.001242628579821373,1.9942638004617625,0.00023737422609814834,2.9869815371303967,4.003874329063059e-06,3.9792023704019615
5,2,2048,0.00031096973019760954,1.9985490806948403,2.9768072904230772e-05,2.9953255628595055,2.512848126103243e-07,3.9940013085390427
6,2,8192,7.776203995978558e-05,1.999636183919112,3.7258052166544734e-06,2.998141670903381,1.572515375796204e-08,3.998177450162631
7,2,32768,1.9441736568528913e-05,1.9999089775413987,4.659862386037079e-07,2.9991929975426377,9.829134390327642e-10,3.9998659431818426
