ConvRates,GMRESIterations,L2Errors,Mesh,NumCells,NumDOFS,SCPCIterations,Degree
---,1,4.44281531,0,6,216,24,5
3.4757533306,1,0.3993486768,1,48,1331,27,5
7.3568390613,1,0.0024362565,2,384,9261,29,5
5.6352962506,1,4.901509098385E-05,3,3072,68921,29,5
5.8421019517,1,8.54440622894543E-07,4,24576,531441,31,5
5.9633891118,1,1.36937655948555E-08,5,196608,4173281,34,5
