Mesh,L2Errors,ConvRates,GMRESIterations,SCPCIterations,NumDOFS,NumCells
1,0.0920476067628,---,1,34,2197,48
2,0.00061776286125,7.21918326034,1,35,15625,384
3,5.49864300646e-06,6.81183370701,1,35,117649,3072
4,4.26204620262e-08,7.01138558127,1,37,912673,24576
5,3.41222277332e-10,6.96469058372,1,38,7189057,196608
