ConvRates,GMRESIterations,L2Errors,Mesh,NumCells,NumDOFS,SCPCIterations,Degree
---,1,1.675961113,0,6,343,32,6
4.1864690723,1,0.0920473248,1,48,2197,33,6
7.2191784876,1,0.000617763,2,384,15625,34,6
6.8118343477,1,5.49864191044631E-06,3,3072,117649,35,6
7.0113788607,1,4.26206520718543E-08,4,24576,912673,37,6
6.97152434,1,3.39611312357601E-10,5,196608,7189057,38,6
