Mesh,L2Errors,ConvRates,GMRESIterations,SCPCIterations,NumDOFS,NumCells
1,0.541026516342,---,1,23,729,48
2,0.0105444923148,5.68113776341,1,26,4913,384
3,0.000384715061025,4.77655551509,1,28,35937,3072
4,1.23882827309e-05,4.95674219067,1,30,274625,24576
5,3.9583009567e-07,4.96795109687,1,33,2146689,196608
