ConvRates,GMRESIterations,L2Errors,Mesh,NumCells,NumDOFS,SCPCIterations,Degree
---,1,2.2564970239,0,6,512,38,7
4.4371431471,1,0.1041649435,1,48,3375,42,7
9.7680477789,1,0.0001194665,2,384,24389,45,7
7.827217618,1,0.000000526,3,3072,185193,43,7
7.8338507714,1,2.30565781061962E-09,4,24576,1442897,41,7
4.4859625732,1,1.02892935787743E-10,5,196608,11390625,42,7
